"RMH Portland Volunteer Contact Info","Report date: January 21, 2018"

Name,Address,City,State,Zip,"Phone 1","Phone 2",Email,"Start Date",Notes
"Jones, Jeanette","11 Garrison Street",Ashburn,VA,20147,7037615825,,jonesey@yahoo.com,,
"Jones, Jeannette","27 Glenwood Ave",Ashburn,VA,20147,7032894125,,jonesey@yahoo.com,16-07-21,"emailed on 7/22/16"
"Jones, Jeannie","120 E. Cummonwealth Dr.",Ashburn,VA,20147,7037970345,,jonesey@yahoo.com,,
"Jones, Jennifer","11 Bear Run",Ashburn,VA,20147,7038921509,,jonesey@yahoo.com,,
"Jones, Jennifer","196 Sebago Lake Road",Ashburn,VA,20147,7038926916,,jonesey@yahoo.com,15-04-24,
"Jones, Jennifer","Two Portland Sq",Ashburn,VA,20147,7037566107,,jonesey@yahoo.com,16-08-01,"emailed on 8/11/16"
"Jones, Jill","35 Woodmont St",Ashburn,VA,20147,7037739540,,jonesey@yahoo.com,,"Confirmed on 1/21/15 that she'd still like to be on the sub call list"
"Jones, Jill and Peter","138 Main Avenue",Ashburn,VA,20147,7035758038,,jonesey@yahoo.com,,
"Jones, Jillaine","15 Stone Ridge Road",Ashburn,VA,20147,7039914206,,jonesey@yahoo.com,,
"Jones, Jim","12 Tibbettes Lane",Ashburn,VA,20147,7035901566,,jonesey@yahoo.com,16-04-13,
"Jones, Joan","238 Virginia St",Ashburn,VA,20147,7037975211,,jonesey@yahoo.com,,"Taken off regular shift as of August 2015 because of health issues"
"Jones, Joanie","PO Box 249",Ashburn,VA,20147,7039293544,,jonesey@yahoo.com,,
"Jones, Joanne","9 Monroe Dr",Ashburn,VA,20147,7038073943,,jonesey@yahoo.com,,
"Jones, Joanne","29 Wolcott Street",Ashburn,VA,20147,7034684170,,jonesey@yahoo.com,,"Volunteered previously from 2009 - 2011 (approximately)"
"Jones, Jody","106 Spruce Street",Ashburn,VA,20147,7033294089,,jonesey@yahoo.com,,
"Jones, John","17 Pine Ridge Road",Ashburn,VA,20147,7037812536,,jonesey@yahoo.com,00-01-01,
"Jones, John","7 Baxter Lane",Ashburn,VA,20147,7034899051,,jonesey@yahoo.com,,
"Jones, John","PO Box 262",Ashburn,VA,20147,7032476256,,jonesey@yahoo.com,15-06-17,
"Jones, John","15 Piper Rd.  K215",Ashburn,VA,20147,7033172152,,jonesey@yahoo.com,15-08-28,
"Jones, Josh","57 Moody Street",Ashburn,VA,20147,7037124705,,jonesey@yahoo.com,,
"Jones, Judy and Rod","108 Brown Cove Road",Ashburn,VA,20147,7038945447,,jonesey@yahoo.com,,
"Jones, Julienne","467 Mill Rd.",Ashburn,VA,20147,7076857618,,jonesey@yahoo.com,15-10-14,"Coast Guard, volunteers with Juliana and Hunter"
"Jones, Kaite",NA,Ashburn,VA,20147,7036491875,,jonesey@yahoo.com,,
"Jones, Kara","305 Brook Street",Ashburn,VA,20147,7035953232,,jonesey@yahoo.com,,
"Jones, Karen","7 Horizon Way",Ashburn,VA,20147,7033298755,,jonesey@yahoo.com,16-06-14,"emailed on 6/16/16"
"Jones, Kassey","554 Highland Ave.",Ashburn,VA,20147,7036082287,,jonesey@yahoo.com,,
"Jones, Kate","88 Main St",Ashburn,VA,20147,7038381537,,jonesey@yahoo.com,16-03-05,
"Jones, Kathleen","3 D Street",Ashburn,VA,20147,7032724955,,jonesey@yahoo.com,,"8/12/14, Emailed to see if she's still volunteering--GN"
"Jones, Kellie and Alex","5 Lockwood Lane",Ashburn,VA,20147,7038293271,,jonesey@yahoo.com,,"My 17-year-old son and I would like to volunteer as Guest Chefs at RMH. Unfortunately he works at 6:30 in Yarmouth M-F 6-9:portlands, so unless we can come at 5-5:30, we'll have to volunteer on the weekends only."
"Jones, Kelly","20 School Street",Ashburn,VA,20147,7034781866,,jonesey@yahoo.com,,"Wants to do with her friend.  Need to get name and have them fill out an application."
"Jones, Kevin and Nathalie","14 Roos Hill Drive",Ashburn,VA,20147,7038659650,,jonesey@yahoo.com,,
"Jones, Kim","11 Pond View Drive",Ashburn,VA,20147,7037496106,,jonesey@yahoo.com,,"have previously been weekend managers - 2001 - 2005"
"Jones, Kimberly","792 Limerick Road",Ashburn,VA,20147,7032050257,,jonesey@yahoo.com,,
"Jones, Kirsten","17 Lucas Lane",Ashburn,VA,20147,7036668904,,jonesey@yahoo.com,,
"Jones, Kristen","172 Clark St, #3",Ashburn,VA,20147,7032395617,,jonesey@yahoo.com,15-06-11,"Subbing on 6-9 shift for now--6/2015"
"Jones, Kristine","75 Clark Street",Ashburn,VA,20147,7036996023,,jonesey@yahoo.com,02-04-07,"4/21/14 broke her leg as soon as heals will be able to volunteer . . . robin"
"Jones, Kyle","2 Summer St., Apt 2a",Ashburn,VA,20147,7034490069,,jonesey@yahoo.com,,
"Jones, Kym","120 E. Cummonwealth Dr.",Ashburn,VA,20147,7037970345,,jonesey@yahoo.com,,
"Jones, Lance","101 Presidential Way",Ashburn,VA,20147,7032528780,,jonesey@yahoo.com,00-09-01,
"Jones, Laura","439 Convene Rd.",Ashburn,VA,20147,7036154220,,jonesey@yahoo.com,,
"Jones, Laureen","8 Irie Road",Ashburn,VA,20147,7036537432,,jonesey@yahoo.com,15-04-10,
"Jones, Lauren","213 South Richland Street",Ashburn,VA,20147,7038389165,,jonesey@yahoo.com,,
"Jones, LeeAnn","7 Watson Farm Rd",Ashburn,VA,20147,7038922717,,jonesey@yahoo.com,,
"Jones, Leigh","426 Bridgton Rd",Ashburn,VA,20147,7037878876,,jonesey@yahoo.com,,
"Jones, Leslie and Craig","91 Fall Mill Road",Ashburn,VA,20147,7033633667,,jonesey@yahoo.com,,
"Jones, Libby","7 Sturdivant Rd",Ashburn,VA,20147,7037812854,,jonesey@yahoo.com,,"Former shift volunteer; now just special projects"
"Jones, Linda","3 Thomas Drive",Ashburn,VA,20147,7036711597,,jonesey@yahoo.com,,
"Jones, Linda","40 Whitney Avenue",Ashburn,VA,20147,7037568845,,jonesey@yahoo.com,,
"Jones, Lisa","77 Randall Street #1",Ashburn,VA,20147,7033296707,,jonesey@yahoo.com,,
"Jones, Lisa","48 Western Promenade",Ashburn,VA,20147,7035929386,,jonesey@yahoo.com,,
"Jones, Lisa","7 Airport Road",Ashburn,VA,20147,7036128001,,jonesey@yahoo.com,16-04-05,
"Jones, Liset and David","PO Box 802",Ashburn,VA,20147,7032402357,,jonesey@yahoo.com,,
"Jones, Liz","14 Wilson Street Apt 3",Ashburn,VA,20147,7034009092,,jonesey@yahoo.com,,"I volunteered at the house years ago as a teenager and look forward to being involved again."
"Jones, Lora","6 Preston Lane",Ashburn,VA,20147,7039853797,,jonesey@yahoo.com,15-12-01,
"Jones, Lorraine (Lorrie)","121 Dunton Road",Ashburn,VA,20147,7036935556,,jonesey@yahoo.com,16-04-06,"last emailed in April 2016"
"Jones, Louise","95 Pleasant Hill Rd.",Ashburn,VA,20147,7037125923,,jonesey@yahoo.com,14-12-05,"Also does Guest Chef with Martin's Point"
"Jones, Lucy","48 State St., #4",Ashburn,VA,20147,7037495489,,jonesey@yahoo.com,15-12-14,
"Jones, Margi","12 Pennyroyal Court",Ashburn,VA,20147,7034152255,,jonesey@yahoo.com,,
"Jones, Marie","16 Hillcrest St",Ashburn,VA,20147,7032426867,,jonesey@yahoo.com,16-04-05,"last emailed in April 2016"
"Jones, Marilee","2 Serenity Dr",Ashburn,VA,20147,7034159124,,jonesey@yahoo.com,,
"Jones, Marilyn","36 Ring Landing Rd",Ashburn,VA,20147,7036506687,,jonesey@yahoo.com,,"On leave as of 12/2014.  Hopes to return in spring after knee replacement.  Usually odd Tuesdays 6-9 with Kara."
"Jones, Marjorie","20 Woodville Rd",Ashburn,VA,20147,7032328434,,jonesey@yahoo.com,16-05-19,"job shadowing"
"Jones, Mary","53 Whites Cove Rd",Ashburn,VA,20147,7038469107,,jonesey@yahoo.com,,
"Jones, Mary","18 Elderberry Drive",Ashburn,VA,20147,7037999534,,jonesey@yahoo.com,,"Mary out injured as of May 2014"
"Jones, Mary","Box 602, 350 Manchester Rd",Ashburn,VA,20147,7036423647,,jonesey@yahoo.com,,
"Jones, Mary","P.O. Box 308",Ashburn,VA,20147,7038293321,,jonesey@yahoo.com,,
"Jones, Mary Ann","4 Woodland Road",Ashburn,VA,20147,7038833212,,jonesey@yahoo.com,,
"Jones, Mary Murray","22 Wildwood Drive",Ashburn,VA,20147,7037412944,,jonesey@yahoo.com,,"On leave as of November 2014; hopes to be back in 2015"
"Jones, Matthew","133 Hawthorne Lane",Ashburn,VA,20147,7038313944,,jonesey@yahoo.com,15-02-20,
"Jones, Maureen","32 Roosevelt Street",Ashburn,VA,20147,7032100761,,jonesey@yahoo.com,,
"Jones, Maxine","40 Sebage Lake Rd.",Ashburn,VA,20147,7038926343,,jonesey@yahoo.com,,
"Jones, Meg","42 Walini Way",Ashburn,VA,20147,7037298111,,jonesey@yahoo.com,,
"Jones, Meg","35 Blueberry Fields",Ashburn,VA,20147,7039395058,,jonesey@yahoo.com,,
"Jones, Melissa","PO Box 298",Ashburn,VA,20147,7037806963,,jonesey@yahoo.com,,"will be in Maine November - January 2013/14"
"Jones, Melissa","101 Presidential Way",Ashburn,VA,20147,7036501479,,jonesey@yahoo.com,00-09-01,Mboire@rsu14.org
"Jones, Michael","837 congress st apt 3",Ashburn,VA,20147,7038585032,,jonesey@yahoo.com,16-02-10,"last emailed on 3/24/16"
"Jones, Michelle","221 Alfred St",Ashburn,VA,20147,7034153303,,jonesey@yahoo.com,,
"Jones, Michelle","104 Murray St.",Ashburn,VA,20147,7035951031,,jonesey@yahoo.com,,
"Jones, Michelle","18 Ryefield Drive",Ashburn,VA,20147,7035906214,,jonesey@yahoo.com,,
"Jones, Michelle","271 Brackett St APT 2",Ashburn,VA,20147,7032454626,,jonesey@yahoo.com,16-02-16,"needs a second job shadow and last emailed on 5/24/16"
"Jones, Mims","24 Pearl St",Ashburn,VA,20147,7036532970,,jonesey@yahoo.com,,"Out until March 6, 2016--health issue"
"Jones, misty","41 lombard st",Ashburn,VA,20147,7038913423,,jonesey@yahoo.com,16-06-14,"emailed on 6/16/16"
"Jones, Monica","133 Keswick Rd",Ashburn,VA,20147,7034599236,,jonesey@yahoo.com,16-05-09,"trying to set up a time to meet. emailed multiple times."
"Jones, Monique","6 Caribou Drive",Ashburn,VA,20147,7039394553,,jonesey@yahoo.com,,"Our troop #783 would like to come and prepare lunch, clean, and maybe decorate."
"Jones, Nancy","21 Hidden Acres",Ashburn,VA,20147,7036769033,,jonesey@yahoo.com,,
"Jones, Nancy","17 William Henry Dr",Ashburn,VA,20147,7038392795,,jonesey@yahoo.com,,
"Jones, Nancy","119 Lesmerises Rd.",Ashburn,VA,20147,6037834573,,jonesey@yahoo.com,15-05-08,"Former guest; volunteers with daughter, Rebecca
2/1/16--use cell number"
"Jones, Nancy","392 Spring St.",Ashburn,VA,20147,7034158150,,jonesey@yahoo.com,16-02-24,
"Jones, Nancy","25 Henley St",Ashburn,VA,20147,7032210332,,jonesey@yahoo.com,16-06-02,
"Jones, Nancy and Chris","2 Homestead Lane",Ashburn,VA,20147,7032297633,,jonesey@yahoo.com,,
"Jones, Nannette","67 Gary L. Maietta Parkway, #6",Ashburn,VA,20147,7034500012,,jonesey@yahoo.com,14-10-30,
"Jones, Nicki","79 Farragut St.",Ashburn,VA,20147,7038788443,,jonesey@yahoo.com,,
"Jones, Nicole","294 Andover Road",Ashburn,VA,20147,7033572928,,jonesey@yahoo.com,,"will drop off paperwork 3/25/13"
"Jones, Nina","150 Glenwood Ave.",Ashburn,VA,20147,7038790643,,jonesey@yahoo.com,,"Former volunteer"
"Jones, Nonie","38 Johnson Rd",Ashburn,VA,20147,7037812392,,jonesey@yahoo.com,16-06-23,
"Jones, Pam","209 Emerald Drive",Ashburn,VA,20147,7035137117,,jonesey@yahoo.com,15-10-16,
"Jones, Pat","218 Saco Rd.",Ashburn,VA,20147,7037275523,,jonesey@yahoo.com,,
"Jones, Pat","17 Smithwood Drive",Ashburn,VA,20147,7038296568,,jonesey@yahoo.com,,
"Jones, Pat","148 Ferry Road",Ashburn,VA,20147,7037018778,,jonesey@yahoo.com,,
"Jones, Pat","PO Box 41",Ashburn,VA,20147,7038319787,,jonesey@yahoo.com,,
"Jones, Patti","71 Cross Hill Rd",Ashburn,VA,20147,7037769081,,jonesey@yahoo.com,16-05-09,
"Jones, Paul","665 Saco St. #242",Ashburn,VA,20147,7032323414,,jonesey@yahoo.com,,
"Jones, Peter","6 Oakmont Drive",Ashburn,VA,20147,7038999578,,jonesey@yahoo.com,,
"Jones, Peter","3 Village Lane",Ashburn,VA,20147,7037991786,,jonesey@yahoo.com,,
"Jones, Peter and Suzanne","6 Oakmont Dr",Ashburn,VA,20147,7038999578,,jonesey@yahoo.com,08-02-25,
"Jones, Rachel","1176 Sawyer Road",Ashburn,VA,20147,7038997981,,jonesey@yahoo.com,,
"Jones, Raffaella","48 Overlook Drive",Ashburn,VA,20147,7034508257,,jonesey@yahoo.com,16-05-31,"emailed on 6/14/16"
"Jones, Randy","10 Brook Road",Ashburn,VA,20147,7033322902,,jonesey@yahoo.com,16-07-19,"emailed on 7/22/16"
"Jones, Reeven","48 Western Promenade",Ashburn,VA,20147,7034009615,,jonesey@yahoo.com,,
"Jones, Rita","48 Bowers St.",Ashburn,VA,20147,7037998431,,jonesey@yahoo.com,,
"Jones, Robert","845 North Road",Ashburn,VA,20147,7036328883,,jonesey@yahoo.com,,"Moved to Boston June 2014, might take shifts when back in town."
"Jones, Robin","30 Derby Lane",Ashburn,VA,20147,7037510984,,jonesey@yahoo.com,,
